placekey,Median_Household_Income,Total_Population,case_rate,raw_visit_counts
1.0,23085.0,73432.64705882352,31.47,156.0
9.0,56265.0,66201.63888888889,16.48,1707.0
9.0,93231.0,60864.38181818182,29.46,6020.0
3.0,43278.0,80501.67647058824,31.41,240.0
14.0,72370.0,98009.8275862069,29.47,1783.0
12.0,77825.0,63700.27777777778,14.28,4502.0
5.0,40390.0,81934.33333333333,19.37,1643.0
3.0,37464.0,89611.79310344828,16.38,2973.0
13.0,101125.0,79379.91025641025,13.51,1151.0
4.0,21058.0,108996.31578947368,9.36,379.0
3.0,37807.0,87762.52777777778,15.75,221.0
5.0,40347.0,94310.23529411765,9.26,2121.0
6.0,24619.0,93247.40909090909,28.21,1231.0
3.0,17066.0,84208.92307692308,21.19,195.0
3.0,22157.0,71449.35294117648,26.53,488.0
8.0,30357.0,81522.1,25.77,1225.0
2.0,40220.0,73318.26666666666,15.96,130.0
4.0,51430.0,81231.0,22.68,179.0
5.0,40887.0,91653.09677419355,20.91,587.0
2.0,37463.0,79799.19230769231,32.46,1852.0
4.0,28876.0,96399.95833333333,6.17,1073.0
2.0,29630.0,80662.5,22.48,237.0
4.0,20045.0,106387.27777777778,9.92,863.0
3.0,24476.0,90469.8947368421,4.24,1894.0
2.0,16255.0,79939.46666666666,16.15,311.0
6.0,24018.0,98215.52380952382,9.33,2686.0
8.0,62489.0,77103.19512195123,42.8,2642.0
8.0,36558.0,65523.68,32.86,1083.0
5.0,58392.0,77623.56410256411,16.48,1855.0
8.0,54583.0,75141.94117647059,23.97,720.0
4.0,20205.0,80756.4375,9.98,1208.0
10.0,62765.0,64188.48484848485,22.44,1658.0
10.0,21362.0,58847.3,28.53,1411.0
4.0,12727.0,69190.42857142857,7.89,284.0
5.0,19826.0,101618.0,19.25,3463.0
1056.0,24497.0,114473.8,14.49,41844.0
805.0,64237.0,50335.063829787236,21.24,24472.0
959.0,41607.0,140386.96875,18.53,25501.0
208.0,6278.0,188047.5,33.65,8553.0
152.0,6830.0,175644.0,34.26,4587.0
102.0,3260.0,200156.33333333334,0.0,3319.0
284.0,2149.0,243571.0,0.0,99362.0
453.0,49267.0,74524.23333333334,17.5,13751.0
476.0,25029.0,152838.0588235294,20.99,13379.0
790.0,37793.0,137434.125,26.13,17537.0
660.0,24644.0,116340.9,8.64,16321.0
898.0,14270.0,95838.72727272728,6.94,22798.0
573.0,24160.0,145088.13636363635,13.19,14593.0
854.0,37707.0,143567.0294117647,21.61,23609.0
559.0,11428.0,141507.5,12.81,15480.0
841.0,10184.0,146624.57142857142,8.48,20262.0
878.0,30875.0,118559.14814814815,9.19,32717.0
477.0,30798.0,145093.41666666666,6.54,19955.0
843.0,18458.0,157571.23529411765,16.18,23473.0
494.0,54108.0,142294.1219512195,11.33,17109.0
484.0,46506.0,143730.0606060606,8.56,14288.0
557.0,77550.0,109605.14285714286,13.1,21263.0
185.0,37874.0,73504.95238095238,41.38,10465.0
479.0,51255.0,78803.40625,20.51,22509.0
477.0,42322.0,159464.5625,19.0,12627.0
498.0,59201.0,51005.76315789474,29.4,26062.0
143.0,24836.0,59235.92857142857,13.67,7317.0
270.0,60524.0,59557.8,25.41,12857.0
282.0,54573.0,55634.54838709677,22.2,24040.0
305.0,46702.0,76533.74074074074,30.76,13826.0
211.0,40232.0,65039.083333333336,35.51,11787.0
281.0,33567.0,44390.608695652176,28.38,14140.0
752.0,23894.0,103623.4705882353,22.02,22897.0
112.0,21710.0,61325.066666666666,38.47,8993.0
354.0,18291.0,98528.66666666667,26.24,14694.0
121.0,26295.0,47037.92307692308,33.11,8845.0
204.0,45458.0,54731.0,27.29,9646.0
34.0,11358.0,114597.6,17.14,2548.0
531.0,24553.0,145586.30434782608,28.67,25495.0
23.0,9850.0,124464.0,15.91,1405.0
259.0,11449.0,134961.2,4.34,5878.0
412.0,44589.0,124173.5142857143,6.83,20496.0
32.0,10083.0,192102.75,0.0,1785.0
36.0,1783.0,89107.0,17.95,1946.0
29.0,37321.0,86778.41379310345,12.85,2888.0
4.0,14861.0,86501.81818181818,5.41,512.0
12.0,27604.0,82009.1875,3.77,726.0
10.0,30536.0,79201.77272727272,33.42,2468.0
26.0,37407.0,86598.125,16.33,5260.0
27.0,53623.0,92248.89743589744,18.94,8566.0
9.0,15794.0,108193.5,13.41,2191.0
14.0,27446.0,107681.75,40.24,7902.0
23.0,33011.0,109713.36842105263,15.18,7006.0
10.0,22444.0,88546.85,12.8,449.0
25.0,58347.0,104671.93939393939,14.74,4095.0
43.0,79078.0,96411.17647058824,25.94,5929.0
37.0,38865.0,37728.47826086957,48.56,2915.0
18.0,57045.0,33725.425,38.56,1953.0
15.0,62077.0,38982.61224489796,41.94,12241.0
8.0,28247.0,31837.571428571428,21.15,4299.0
15.0,33608.0,32120.821428571428,26.26,3135.0
16.0,86264.0,35585.236363636366,23.61,69059.0
20.0,61971.0,37627.17391304348,32.55,47460.0
18.0,74022.0,42246.166666666664,32.63,10844.0
16.0,39268.0,35939.206896551725,35.51,1782.0
18.0,47858.0,35597.97297297297,30.57,5982.0
17.0,49305.0,70092.60869565218,16.29,4241.0
17.0,69816.0,60757.58620689655,37.18,4694.0
27.0,69727.0,72518.23076923077,21.43,5152.0
5.0,4322.0,107659.5,0.0,1667.0
11.0,41057.0,79607.0625,16.23,2598.0
9.0,64819.0,70535.98113207547,21.03,2295.0
11.0,82057.0,45185.08571428571,13.72,1944.0
15.0,68909.0,41005.36956521739,24.42,1294.0
14.0,66153.0,77169.14285714286,20.66,4507.0
10.0,21162.0,96045.88888888889,14.12,1125.0
15.0,60650.0,42876.37777777778,26.48,2272.0
13.0,51370.0,58552.44736842105,20.3,2471.0
28.0,9226.0,31536.85714285714,16.7,2323.0
18.0,32872.0,64702.77777777778,14.04,1589.0
12.0,32221.0,100087.96,27.15,395.0
12.0,26718.0,84755.125,29.96,1512.0
2.0,35492.0,83183.48387096774,37.21,1754.0
5.0,24540.0,78490.91304347826,11.79,314.0
10.0,38141.0,88669.05882352941,22.11,925.0
5.0,34171.0,80542.72,13.36,861.0
77.0,61363.0,133295.9024390244,16.05,6598.0
7.0,71180.0,64310.73846153846,10.91,261.0
12.0,74649.0,57845.55737704918,36.32,1549.0
9.0,42031.0,90354.03125,13.24,556.0
8.0,82345.0,60267.811320754714,14.99,200.0
19.0,82736.0,51642.605633802814,6.74,10018.0
16.0,94959.0,54760.03389830508,25.11,7839.0
14.0,68203.0,92088.30645161291,25.18,5040.0
10.0,62788.0,78506.68,27.4,11665.0
34.0,59967.0,84678.72340425532,16.72,8337.0
12.0,51407.0,40087.92592592593,12.17,1882.0
9.0,62557.0,59509.63829787234,15.48,1769.0
18.0,85989.0,64325.333333333336,14.01,2559.0
20.0,61859.0,143231.08771929826,11.49,7894.0
13.0,51653.0,83041.57777777778,5.47,645.0
10.0,40126.0,137000.0303030303,17.13,305.0
14.0,63319.0,83818.55102040817,18.92,761.0
17.0,77871.0,47046.39344262295,37.74,5512.0
19.0,86486.0,58089.367647058825,29.6,1531.0
24.0,73277.0,70766.49206349206,14.73,1093.0
20.0,36327.0,103204.89743589744,11.07,10878.0
12.0,75425.0,66015.01612903226,14.73,979.0
17.0,39470.0,46717.5,17.29,2414.0
9.0,53140.0,70510.64864864865,12.17,363.0
14.0,94874.0,64148.88333333333,17.46,1304.0
9.0,42273.0,78106.15789473684,20.01,1905.0
18.0,76323.0,75235.328125,19.15,2776.0
14.0,77477.0,70015.62121212122,31.5,6556.0
18.0,33736.0,136902.25806451612,2.68,1239.0
